iter	Passed	Remaining
418	2879	3993
419	2881	3979
420	2884	3967
421	2890	3959
422	2896	3950
423	2898	3937
424	2901	3925
425	2907	3917
426	2909	3904
427	2912	3891
428	2914	3879
429	2921	3872
430	2924	3860
431	2927	3849
432	2936	3845
433	2941	3836
434	2943	3823
435	2946	3811
436	2953	3805
437	2956	3793
438	2958	3781
439	2961	3769
440	2968	3762
441	2974	3754
442	2979	3745
443	2984	3737
444	2987	3725
445	2989	3713
446	2992	3701
447	2995	3690
448	2998	3680
449	3002	3669
450	3004	3657
451	3006	3644
452	3008	3632
453	3010	3620
454	3013	3609
455	3016	3598
456	3018	3587
457	3022	3577
458	3025	3565
459	3027	3553
460	3029	3542
461	3033	3532
462	3037	3522
463	3039	3511
464	3042	3500
465	3046	3491
466	3054	3485
467	3059	3478
468	3062	3466
469	3069	3460
470	3076	3455
471	3079	3445
472	3086	3438
473	3092	3431
474	3096	3422
475	3099	3412
476	3102	3401
477	3107	3393
478	3111	3384
479	3113	3373
480	3116	3362
481	3118	3350
482	3124	3343
483	3126	3332
484	3128	3321
485	3130	3310
486	3133	3300
487	3139	3293
488	3141	3282
489	3143	3271
490	3145	3260
491	3147	3249
492	3153	3242
493	3161	3238
494	3163	3227
495	3168	3219
496	3170	3208
497	3172	3198
498	3175	3188
499	3177	3177
500	3179	3166
501	3186	3160
502	3188	3150
503	3194	3143
504	3197	3134
505	3200	3124
506	3205	3116
507	3208	3107
508	3214	3100
509	3218	3092
510	3223	3084
511	3228	3077
512	3231	3067
513	3233	3057
514	3240	3051
515	3248	3046
516	3251	3037
517	3253	3027
518	3260	3021
519	3262	3011
520	3265	3001
521	3267	2991
522	3269	2981
523	3272	2973
524	3285	2972
525	3293	2967
526	3296	2958
527	3299	2949
528	3304	2942
529	3307	2933
530	3310	2923
531	3312	2913
532	3314	2903
533	3321	2898
534	3324	2889
535	3326	2879
536	3328	2870
537	3334	2863
538	3340	2856
539	3342	2847
540	3344	2837
541	3351	2831
542	3353	2822
543	3357	2814
544	3359	2804
545	3366	2799
546	3368	2790
547	3371	2780
548	3373	2771
549	3376	2762
550	3390	2763
551	3396	2756
552	3399	2747
553	3403	2740
554	3406	2730
555	3407	2721
556	3414	2715
557	3416	2706
558	3423	2701
559	3425	2691
560	3428	2682
561	3432	2675
562	3434	2665
563	3436	2656
564	3438	2647
565	3440	2637
566	3442	2628
567	3444	2619
568	3445	2610
569	3451	2604
570	3453	2595
571	3456	2586
572	3458	2577
573	3460	2568
574	3462	2559
575	3465	2551
576	3468	2542
577	3470	2534
578	3473	2525
579	3475	2516
580	3482	2511
581	3486	2503
582	3489	2495
583	3502	2494
584	3517	2495
585	3520	2487
586	3522	2478
587	3531	2474
588	3534	2466
589	3535	2456
590	3537	2448
591	3548	2445
592	3550	2436
593	3552	2428
594	3566	2427
595	3575	2423
596	3577	2415
597	3580	2406
598	3584	2399
599	3594	2396
600	3596	2387
601	3598	2379
602	3600	2370
603	3603	2362
604	3605	2354
605	3618	2352
606	3620	2344
607	3622	2335
608	3633	2332
609	3635	2324
610	3637	2316
611	3648	2312
612	3650	2304
613	3666	2304
614	3668	2296
615	3679	2293
616	3681	2285
617	3683	2277
618	3685	2268
619	3696	2265
620	3698	2257
621	3700	2248
622	3708	2244
623	3710	2235
624	3713	2227
625	3714	2219
626	3716	2211
627	3726	2207
628	3728	2199
629	3730	2190
630	3732	2182
631	3736	2175
632	3738	2167
633	3748	2164
634	3752	2156
635	3753	2148
636	3764	2145
637	3766	2136
638	3768	2129
639	3776	2124
640	3782	2118
641	3785	2110
642	3794	2106
643	3798	2100
644	3800	2092
645	3811	2088
646	3813	2080
647	3816	2073
648	3873	2094
649	3879	2088
650	3881	2080
651	3888	2075
652	3891	2067
653	3895	2061
654	3905	2057
655	3908	2049
656	3914	2043
657	3938	2047
658	3942	2040
659	3944	2032
660	3962	2032
661	3969	2026
662	3974	2020
663	3976	2012
664	3978	2004
665	3985	1998
666	3987	1990
667	3989	1982
668	3991	1974
669	3993	1966
670	4000	1961
671	4002	1953
672	4004	1945
673	4006	1937
674	4008	1929
675	4013	1923
676	4016	1916
677	4018	1908
678	4021	1901
679	4023	1893
680	4032	1888
681	4034	1881
682	4037	1873
683	4039	1866
684	4050	1862
685	4052	1854
686	4054	1847
687	4061	1841
688	4063	1834
689	4065	1826
690	4067	1818
691	4076	1814
692	4078	1806
693	4080	1799
694	4082	1791
695	4088	1785
696	4090	1778
697	4093	1770
698	4095	1763
699	4097	1755
700	4102	1749
701	4107	1743
702	4109	1736
703	4111	1728
704	4113	1721
705	4119	1715
706	4121	1707
707	4123	1700
708	4125	1693
709	4127	1685
710	4133	1680
711	4135	1672
712	4137	1665
713	4139	1658
714	4141	1650
715	4144	1643
716	4151	1638
717	4153	1631
718	4155	1624
719	4162	1618
720	4164	1611
721	4166	1604
722	4170	1597
723	4178	1593
724	4180	1585
725	4182	1578
726	4192	1574
727	4194	1566
728	4196	1560
729	4198	1553
730	4201	1545
731	4206	1540
732	4208	1532
733	4210	1525
734	4212	1518
735	4214	1511
736	4221	1506
737	4223	1499
738	4225	1492
739	4227	1485
740	4229	1478
741	4235	1472
742	4237	1465
743	4242	1459
744	4244	1452
745	4246	1445
746	4248	1438
747	4251	1432
748	4254	1425
749	4256	1418
750	4261	1412
751	4263	1405
752	4265	1399
753	4267	1392
754	4269	1385
755	4271	1378
756	4277	1373
757	4279	1366
758	4282	1359
759	4284	1352
760	4286	1346
761	4288	1339
762	4290	1332
763	4295	1326
764	4298	1320
765	4300	1313
766	4302	1307
767	4304	1300
768	4306	1293
769	4315	1289
770	4318	1282
771	4320	1276
772	4322	1269
773	4324	1262
774	4326	1256
775	4332	1250
776	4336	1244
777	4338	1238
778	4341	1231
779	4343	1225
780	4345	1218
781	4347	1211
782	4349	1205
783	4351	1198
784	4353	1192
785	4361	1187
786	4363	1180
787	4365	1174
788	4368	1168
789	4374	1162
790	4379	1157
791	4382	1151
792	4385	1144
793	4391	1139
794	4393	1132
795	4395	1126
796	4397	1120
797	4399	1113
798	4411	1109
799	4413	1103
800	4415	1097
801	4421	1091
802	4424	1085
803	4426	1079
804	4428	1072
805	4430	1066
806	4435	1060
807	4437	1054
808	4439	1048
809	4441	1041
810	4443	1035
811	4445	1029
812	4450	1023
813	4452	1017
814	4454	1011
815	4456	1004
816	4458	998
817	4460	992
818	4462	986
819	4464	980
820	4469	974
821	4471	968
822	4473	962
823	4476	956
824	4479	950
825	4482	944
826	4484	938
827	4486	932
828	4488	925
829	4493	920
830	4496	914
831	4498	908
832	4502	902
833	4510	897
834	4513	891
835	4515	885
836	4517	879
837	4518	873
838	4521	867
839	4523	861
840	4524	855
841	4526	849
842	4529	843
843	4534	838
844	4537	832
845	4539	826
846	4541	820
847	4543	814
848	4549	809
849	4551	803
850	4553	797
851	4555	791
852	4557	785
853	4559	779
854	4562	773
855	4563	767
856	4565	761
857	4567	755
858	4569	750
859	4570	744
860	4576	738
861	4582	733
862	4584	727
863	4586	721
864	4588	716
865	4592	710
866	4594	704
867	4596	698
868	4598	693
869	4603	687
870	4605	682
871	4611	676
872	4613	671
873	4618	665
874	4620	660
875	4622	654
876	4624	648
877	4626	642
878	4628	637
879	4631	631
880	4635	626
881	4637	620
882	4639	614
883	4645	609
884	4647	603
885	4649	598
886	4651	592
887	4653	586
888	4655	581
889	4660	576
890	4664	570
891	4666	564
892	4668	559
893	4670	553
894	4675	548
895	4678	543
896	4680	537
897	4682	531
898	4684	526
899	4689	521
900	4691	515
901	4693	509
902	4694	504
903	4696	498
904	4699	493
905	4704	488
906	4706	482
907	4708	477
908	4710	471
909	4712	466
910	4715	460
911	4717	455
912	4719	449
913	4722	444
914	4724	438
915	4726	433
916	4728	427
917	4730	422
918	4732	417
919	4734	411
920	4739	406
921	4741	401
922	4742	395
923	4748	390
924	4750	385
925	4753	379
926	4755	374
927	4757	369
928	4759	363
929	4764	358
930	4766	353
931	4768	347
932	4770	342
933	4772	337
934	4778	332
935	4780	326
936	4782	321
937	4784	316
938	4786	310
939	4787	305
940	4792	300
941	4795	295
942	4799	290
943	4802	284
944	4809	279
945	4812	274
946	4814	269
947	4816	264
948	4818	258
949	4826	254
950	4828	248
951	4830	243
952	4832	238
953	4834	233
954	4838	227
955	4840	222
956	4844	217
957	4850	212
958	4853	207
959	4856	202
960	4858	197
961	4860	191
962	4862	186
963	4872	181
964	4874	176
965	4876	171
966	4882	166
967	4884	161
968	4889	156
969	4891	151
970	4900	146
971	4902	141
972	4904	136
973	4906	130
974	4907	125
975	4916	120
976	4918	115
977	4920	110
978	4921	105
979	4928	100
980	4931	95
981	4934	90
982	4936	85
983	4938	80
984	4949	75
985	4951	70
986	4953	65
987	4961	60
988	4963	55
989	4965	50
990	4967	45
991	4969	40
992	4971	35
993	4976	30
994	4978	25
995	4980	20
996	4989	15
997	4991	10
998	4993	4
999	4995	0
